CASO,TIEMPO,DOCENTE S,DOCENTE E,DOCENTE CODIGO M,Est 1 S,Est 1 E,Est 1 CODIGO M,Est 2 S,Est 2 E,Est 2 CODIGO M,Est 3 S,Est 3 E,Est 3 CODIGO M,UNIDAD LÉXICA DOCENTE,UNIDAD LÉXICA EST 1,UNIDAD LÉXICA EST 2,UNIDAD LÉXICA EST 3
Caso 1,1,2,3,4,0,0,0,0,0,0,0,0,0,¿que es la logica dialectica? ,,,
Caso 1,2,3,3,4,0,0,0,0,0,0,0,0,0,Logica simbolica,,,
Caso 1,3,3,3,4,0,0,0,0,0,0,0,0,0,tres principios logicos ,,,
Caso 1,4,4,3,4,0,0,0,0,0,0,0,0,0,Logica de Contenido ,,,
Caso 1,5,1,2,15,0,0,0,4,2,1,0,0,0,"padres, tios, abuelos ",,Sistema conceptual ,
Caso 1,6,3,3,4,0,0,0,1,2,1,0,0,0,Naturaleza ,,Acciones cotidianas ,
Caso 1,7,4,3,4,0,0,0,0,0,0,1,2,6,Ontologia ,,,Capullo 
Caso 1,8,1,2,4,0,0,0,0,0,0,3,2,6,Realidad Social ,,,deconstruirse 
Caso 1,9,4,3,15,0,0,0,0,0,0,1,2,22,Dialectica ,,,cambiando 
Caso 1,10,4,3,4,0,0,0,0,0,0,1,1,22,Contradiccion ,,,conveniencia 
Caso 2,1,1,2,25,0,0,0,0,0,0,0,0,0,Objeto de estudio ,,,
Caso 2,2,4,3,25,4,2,22,0,0,0,0,0,0,Verdad ,Verdad ,,
Caso 2,3,4,3,25,1,2,22,0,0,0,0,0,0,Conocimiento ,Practicas sociales ,,
Caso 2,4,4,3,25,3,2,22,0,0,0,0,0,0,Facultad de conocer ,Discernir ,,
Caso 2,5,4,3,25,4,2,28,0,0,0,0,0,0,Positivismo ,Autonomia ,,
Caso 2,6,4,3,28,0,0,0,0,0,0,2,2,28,Metodo ,,,metodo/validez
Caso 2,7,3,3,1,0,0,0,0,0,0,1,2,1,Modernidad ,,,Contexto indigena 
Caso 2,8,4,3,1,0,0,0,0,0,0,1,1,11,Certeza ,,,metodos de occidente 
Caso 2,9,1,2,11,0,0,0,1,2,28,1,1,1,Comuna San Jose ,,Muerte lideres sociales ,criterios del investigador 
Caso 2,10,1,2,22,0,0,0,4,2,6,0,0,0,Puntilla y Martillo ,,comprenion de la verdad ,
Caso 3,1,4,3,4,0,0,0,0,0,0,0,0,0,Ser ,,,
Caso 3,2,4,3,28,0,0,0,0,0,0,0,0,0,Nada ,,,
Caso 3,3,4,3,15,0,0,0,0,0,0,0,0,0,Devenir ,,,
Caso 3,4,4,3,15,0,0,0,0,0,0,0,0,0,Absoluto ,,,
Caso 3,5,4,3,15,4,2,1,0,0,0,0,0,0,Diferencia ,Otredad ,,
Caso 3,6,3,2,26,4,2,28,0,0,0,0,0,0,Cambio ,Yo ,,
Caso 3,7,4,3,1,1,1,1,0,0,0,0,0,0,Identidad ,Interaccion ,,
Caso 3,8,4,3,1,4,2,6,0,0,0,0,0,0,Dialectica ,Conciencia ,,
Caso 3,9,4,3,4,0,0,0,0,0,0,0,0,0,Dasein ,,,
Caso 3,10,4,3,6,0,0,0,0,0,0,0,0,0,Totalidad ,,,
Caso 4,1,2,2,4,0,0,0,0,0,0,0,0,0,¿sabe que es una determinacion? ,,,
Caso 4,2,2,2,11,0,0,0,0,0,0,0,0,0,el tablero es el conjunto de sus detrminaciones ,Fenomenico ,,
Caso 4,3,2,2,17,4,2,1,0,0,0,0,0,0,¿que hace que el tablero sea tablero? ,Determinacion ,,
Caso 4,4,1,2,15,4,2,26,0,0,0,0,0,0,miren a Dylan y miren el tablero ,en si,,
Caso 4,5,1,2,11,4,1,26,0,0,0,0,0,0,Diferenciar ,Identidad ,,
Caso 4,6,4,3,28,4,2,26,0,0,0,0,0,0,Concepto ,,,espacio personal 
Caso 4,7,4,3,1,0,0,0,0,0,0,1,2,22,Existencia ,,,limites visibles e intangibles 
Caso 4,8,4,3,1,0,0,0,0,0,0,1,2,6,Limite ,,,"alma, razon, necesidad "
Caso 4,9,1,3,17,0,0,0,0,0,0,1,2,28,Diversidad ,,,
Caso 4,10,4,3,1,0,0,0,0,0,0,0,0,0,Verdad - falsedad ,,,
